timestamp,arrivalTime,ueAppAddress,ueAppPort,car,recv_packet_size(B),uplink_delay(s),Queueing_delay(s),processing_delay(s),idframe,nbSentMsg
3.6865046912,3.6865046912,10.0.1.200,4009,car[3],2000,0.0000016996,0,0.002,246,245
3.6865063984,3.6865063984,10.0.3.24,4009,car[9],2000,0.0000016996,0,0.002,246,245
3.687002984,3.687002984,10.0.2.56,4009,car[5],2000,0.0000016996,0,0.002,246,245
3.6870046912,3.6870046912,10.0.3.192,4009,car[12],2000,0.0000016996,0,0.002,246,245
3.687502984,3.687502984,10.0.2.0,4009,car[4],2000,0.0000016996,0,0.002,246,245
3.6875046912,3.6875046912,10.0.3.136,4009,car[11],2000,0.0000016996,0,0.002,246,245
3.688002984,3.688002984,10.0.2.112,4009,car[6],2000,0.0000016996,0,0.002,246,245
3.688502984,3.688502984,10.0.4.216,4009,car[17],2000,0.0000016996,0,0.002,246,234
3.6885046912,3.6885046912,10.0.5.16,4009,car[18],2000,0.0000016996,0,0.002,246,245
3.689002984,3.689002984,10.0.3.248,4009,car[13],2000,0.0000016996,0,0.002,246,245
3.6890046912,3.6890046912,10.0.4.104,4009,car[15],2000,0.0000016996,0,0.002,246,245
3.6890063984,3.6890063984,10.0.4.160,4009,car[16],2000,0.0000016996,0,0.002,246,245
3.689502984,3.689502984,10.0.2.224,4009,car[8],2000,0.0000016996,0,0.002,246,245
3.690002984,3.690002984,10.0.4.48,4009,car[14],2000,0.0000016996,0,0.002,246,245
3.691002984,3.691002984,10.0.3.80,4009,car[10],2000,0.0000016996,0,0.002,246,245
3.691502984,3.691502984,10.0.1.32,4009,car[0],2000,0.0000016996,0,0.002,246,245
3.696002984,3.696002984,10.0.1.144,4009,car[2],2000,0.0000016996,0,0.002,247,246
3.6960046912,3.6960046912,10.0.2.168,4009,car[7],2000,0.0000016996,0,0.002,247,246
3.6960063984,3.6960063984,10.0.6.253,4009,car[19],2000,0.0000016996,0,0.002,47,46
3.696502984,3.696502984,10.0.1.88,4009,car[1],2000,0.0000016996,0,0.002,247,246
3.6965046912,3.6965046912,10.0.1.200,4009,car[3],2000,0.0000016996,0,0.002,247,246
3.6965063984,3.6965063984,10.0.3.24,4009,car[9],2000,0.0000016996,0,0.002,247,246
3.697002984,3.697002984,10.0.2.56,4009,car[5],2000,0.0000016996,0,0.002,247,246
3.6970046912,3.6970046912,10.0.3.192,4009,car[12],2000,0.0000016996,0,0.002,247,246
3.697502984,3.697502984,10.0.2.0,4009,car[4],2000,0.0000016996,0,0.002,247,246
3.6975046912,3.6975046912,10.0.2.224,4009,car[8],2000,0.0000016996,0,0.002,247,246
3.698502984,3.698502984,10.0.4.216,4009,car[17],2000,0.0000016996,0,0.002,247,235
3.6985046912,3.6985046912,10.0.5.16,4009,car[18],2000,0.0000016996,0,0.002,247,246
3.699002984,3.699002984,10.0.3.248,4009,car[13],2000,0.0000016996,0,0.002,247,246
3.6990046912,3.6990046912,10.0.4.104,4009,car[15],2000,0.0000016996,0,0.002,247,246
3.6995010168,3.6995010168,10.0.2.112,4009,car[6],2000,0.0014997324,0,0.002,247,246
3.700002984,3.700002984,10.0.4.48,4009,car[14],2000,0.0005012268,0,0.002,247,246
3.7005010168,3.7005010168,10.0.3.80,4009,car[10],2000,0.0004997324,0,0.002,247,246
3.701002984,3.701002984,10.0.3.136,4009,car[11],2000,0.0000016996,0,0.002,247,246
3.701502984,3.701502984,10.0.1.32,4009,car[0],2000,0.0000016996,0,0.002,247,246
3.705002984,3.705002984,10.0.4.160,4009,car[16],2000,0.0000016996,0,0.002,247,246
3.706002984,3.706002984,10.0.1.144,4009,car[2],2000,0.0000016996,0,0.002,248,247
3.7060046912,3.7060046912,10.0.2.168,4009,car[7],2000,0.0000016996,0,0.002,248,247
3.7060063984,3.7060063984,10.0.6.253,4009,car[19],2000,0.0000016996,0,0.002,48,47
3.706502984,3.706502984,10.0.1.88,4009,car[1],2000,0.0000016996,0,0.002,248,247
3.7065046912,3.7065046912,10.0.1.200,4009,car[3],2000,0.0000016996,0,0.002,248,247
3.7065063984,3.7065063984,10.0.3.24,4009,car[9],2000,0.0000016996,0,0.002,248,247
3.707002984,3.707002984,10.0.2.56,4009,car[5],2000,0.0000016996,0,0.002,248,247
3.7070046912,3.7070046912,10.0.3.192,4009,car[12],2000,0.0000016996,0,0.002,248,247
3.707502984,3.707502984,10.0.2.0,4009,car[4],2000,0.0000016996,0,0.002,248,247
3.7075046912,3.7075046912,10.0.2.224,4009,car[8],2000,0.0000016996,0,0.002,248,247
3.7080042184,3.7080042184,10.0.3.136,4009,car[11],2000,0.0000016996,0,0.002,248,247
3.708502984,3.708502984,10.0.4.216,4009,car[17],2000,0.0000016996,0,0.002,248,236
3.7085046912,3.7085046912,10.0.5.16,4009,car[18],2000,0.0000016996,0,0.002,248,247
3.709002984,3.709002984,10.0.3.248,4009,car[13],2000,0.0000016996,0,0.002,248,247
3.7090046912,3.7090046912,10.0.4.104,4009,car[15],2000,0.0000016996,0,0.002,248,247
3.7090063984,3.7090063984,10.0.4.160,4009,car[16],2000,0.0000016996,0,0.002,248,247
3.7095010168,3.7095010168,10.0.2.112,4009,car[6],2000,0.0014997324,0,0.002,248,247
3.7100010168,3.7100010168,10.0.4.48,4009,car[14],2000,0.0004992596,0,0.002,248,247
3.710502984,3.710502984,10.0.3.80,4009,car[10],2000,0.0000016996,0,0.002,248,247
3.711502984,3.711502984,10.0.1.32,4009,car[0],2000,0.0000016996,0,0.002,248,247
3.716002984,3.716002984,10.0.1.144,4009,car[2],2000,0.0000016996,0,0.002,249,248
3.7160046912,3.7160046912,10.0.2.168,4009,car[7],2000,0.0000016996,0,0.002,249,248
3.7160063984,3.7160063984,10.0.6.253,4009,car[19],2000,0.0000016996,0,0.002,49,48
3.716502984,3.716502984,10.0.1.88,4009,car[1],2000,0.0000016996,0,0.002,249,248
3.7165046912,3.7165046912,10.0.1.200,4009,car[3],2000,0.0000016996,0,0.002,249,248
3.7165063984,3.7165063984,10.0.3.24,4009,car[9],2000,0.0000016996,0,0.002,249,248
3.717002984,3.717002984,10.0.2.56,4009,car[5],2000,0.0000016996,0,0.002,249,248
3.7170046912,3.7170046912,10.0.3.192,4009,car[12],2000,0.0000016996,0,0.002,249,248
3.717502984,3.717502984,10.0.2.0,4009,car[4],2000,0.0000016996,0,0.002,249,248
3.7180042184,3.7180042184,10.0.3.136,4009,car[11],2000,0.0000016996,0,0.002,249,248
3.718502984,3.718502984,10.0.4.216,4009,car[17],2000,0.0000016996,0,0.002,249,237
3.7185046912,3.7185046912,10.0.5.16,4009,car[18],2000,0.0000016996,0,0.002,249,248
3.719002984,3.719002984,10.0.3.248,4009,car[13],2000,0.0000016996,0,0.002,249,248
3.7190046912,3.7190046912,10.0.4.160,4009,car[16],2000,0.0000016996,0,0.002,249,248
3.7195010168,3.7195010168,10.0.2.112,4009,car[6],2000,0.0014997324,0,0.002,249,248
3.720002984,3.720002984,10.0.2.224,4009,car[8],2000,0.0000016996,0,0.002,249,248
3.720003428,3.720003428,10.0.4.48,4009,car[14],2000,0.0005016708,0,0.002,249,248
3.7210010168,3.7210010168,10.0.3.80,4009,car[10],2000,0.0004997324,0,0.002,249,248
3.7215042184,3.7215042184,10.0.4.104,4009,car[15],2000,0.0000016996,0,0.002,249,248
3.7220010168,3.7220010168,10.0.1.32,4009,car[0],2000,0.0004997324,0,0.002,249,248
3.726002984,3.726002984,10.0.1.144,4009,car[2],2000,0.0000016996,0,0.002,250,249
3.7260046912,3.7260046912,10.0.2.168,4009,car[7],2000,0.0000016996,0,0.002,250,249
3.7260063984,3.7260063984,10.0.6.253,4009,car[19],2000,0.0000016996,0,0.002,50,49
3.726502984,3.726502984,10.0.1.88,4009,car[1],2000,0.0000016996,0,0.002,250,249
3.7265046912,3.7265046912,10.0.1.200,4009,car[3],2000,0.0000016996,0,0.002,250,249
3.7265063984,3.7265063984,10.0.3.24,4009,car[9],2000,0.0000016996,0,0.002,250,249
3.727002984,3.727002984,10.0.2.56,4009,car[5],2000,0.0000016996,0,0.002,250,249
3.7270046912,3.7270046912,10.0.3.192,4009,car[12],2000,0.0000016996,0,0.002,250,249
3.727502984,3.727502984,10.0.2.0,4009,car[4],2000,0.0000016996,0,0.002,250,249
3.7275046912,3.7275046912,10.0.2.224,4009,car[8],2000,0.0000016996,0,0.002,250,249
3.7280042184,3.7280042184,10.0.3.136,4009,car[11],2000,0.0000016996,0,0.002,250,249
3.728502984,3.728502984,10.0.4.216,4009,car[17],2000,0.0000016996,0,0.002,250,238
3.7285046912,3.7285046912,10.0.5.16,4009,car[18],2000,0.0000016996,0,0.002,250,249
3.729002984,3.729002984,10.0.4.104,4009,car[15],2000,0.0000016996,0,0.002,250,249
3.7290046912,3.7290046912,10.0.4.160,4009,car[16],2000,0.0000016996,0,0.002,250,249
3.7295010168,3.7295010168,10.0.2.112,4009,car[6],2000,0.0014997324,0,0.002,250,249
3.730502984,3.730502984,10.0.3.80,4009,car[10],2000,0.0000016996,0,0.002,250,249
3.731502984,3.731502984,10.0.1.32,4009,car[0],2000,0.0000016996,0,0.002,250,249
3.732502984,3.732502984,10.0.4.48,4009,car[14],2000,0.0000016996,0,0.002,250,249
3.735002984,3.735002984,10.0.3.248,4009,car[13],2000,0.0000016996,0,0.002,250,249
3.736002984,3.736002984,10.0.1.144,4009,car[2],2000,0.0000016996,0,0.002,251,250
3.7360046912,3.7360046912,10.0.2.168,4009,car[7],2000,0.0000016996,0,0.002,251,250
3.7360063984,3.7360063984,10.0.6.253,4009,car[19],2000,0.0000016996,0,0.002,51,50
3.736502984,3.736502984,10.0.1.88,4009,car[1],2000,0.0000016996,0,0.002,251,250
3.7365046912,3.7365046912,10.0.1.200,4009,car[3],2000,0.0000016996,0,0.002,251,250
3.7365063984,3.7365063984,10.0.3.24,4009,car[9],2000,0.0000016996,0,0.002,251,250
3.737002984,3.737002984,10.0.2.56,4009,car[5],2000,0.0000016996,0,0.002,251,250
3.7370046912,3.7370046912,10.0.3.192,4009,car[12],2000,0.0000016996,0,0.002,251,250
3.737502984,3.737502984,10.0.2.0,4009,car[4],2000,0.0000016996,0,0.002,251,250
3.7375046912,3.7375046912,10.0.2.224,4009,car[8],2000,0.0000016996,0,0.002,251,250
3.7380042184,3.7380042184,10.0.3.136,4009,car[11],2000,0.0000016996,0,0.002,251,250
3.738502984,3.738502984,10.0.4.216,4009,car[17],2000,0.0000016996,0,0.002,251,239
